NU_MATRICULA,DT_NASCIMENTO,PERIODO_INGRESSO,TIPO_INGRESSO,PERIODO_LETIVO,CAMPUS,CD_INEP,CURSO,CARGA_HORARIA_CURSO,TURNO,MODALIDADE,COTAS,ESCOLA_PUBLICA,BLS_ASSIST,DS_TP_SIT_ACAD,MONIT_PROACAD,SEXO,COR,NACIONALIDADE,CIDADE_NAT,UF_NAT,DEFIC,SURDEZ,AUDITIVA,FISICA,SURDOCEGUEIRA,MULTIPLA,INTELECTUAL,AUTISMO,SINDR_ASPERGER,SINDR_RETT,TRANST_DESINT,ALT_HAB_SUPERD,MOB_ACAD,TIPO_MOB_ACAD,IES_DEST,TIPO_MOB_ACAD_INTERNAC,PAIS_DEST
200686317,21/03/1983,2009.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,13610,ARQUITETURA E URBANISMO,3915,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,BRANCA,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200686963,12/07/1990,2009.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,13588,ENGENHARIA QUÍMICA,3885,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,NÃO,F,PARDA,BRA,OLINDA,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200686989,19/04/1991,2009.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,13584,ENGENHARIA CIVIL,3900,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200687082,13/02/1991,2009.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,58854,ENGENHARIA DA COMPUTAÇÃO,4065,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,SIM,M,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200699558,27/01/1987,2010.1,TRANSFERENCIA INTERNA,2019.1,REITOR JOAQUIM AMAZONAS,13608,PSICOLOGIA,4080,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,PRETA,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200699606,14/10/1986,2010.1,TRANSFERENCIA INTERNA,2019.1,REITOR JOAQUIM AMAZONAS,58854,ENGENHARIA DA COMPUTAÇÃO,4065,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,PARDA,BRA,FEIRA NOVA,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200699715,02/01/1990,2010.1,TRANSFERENCIA INTERNA,2019.1,REITOR JOAQUIM AMAZONAS,13574,CIÊNCIAS ECONÔMICAS,3000,MANHA,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,NÃO,F,NÃO DECLARADO,BRA,JABOATAO DOS GUARARAPES,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200699715,02/01/1990,2010.1,TRANSFERENCIA INTERNA,2019.2,REITOR JOAQUIM AMAZONAS,13574,CIÊNCIAS ECONÔMICAS,3000,MANHA,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,F,NÃO DECLARADO,BRA,JABOATAO DOS GUARARAPES,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200699744,16/07/1979,2010.1,TRANSFERENCIA INTERNA,2019.1,REITOR JOAQUIM AMAZONAS,13600,FARMACIA,3465,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,SIM,TRANCAMENTO,NÃO,M,NÃO DECLARADO,BRA,OLINDA,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200699744,16/07/1979,2010.1,TRANSFERENCIA INTERNA,2019.2,REITOR JOAQUIM AMAZONAS,13600,FARMACIA,3465,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,SIM,TRANCAMENTO,NÃO,M,NÃO DECLARADO,BRA,OLINDA,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200710038,19/06/1980,2010.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,1136142,SISTEMAS DE INFORMAÇÃO,3000,TARDE/NOITE,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,BRANCA,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200710394,09/07/1990,2010.1,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,13583,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA,3870,NOITE,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,PARDA,BRA,CAMARAGIBE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200710397,12/07/1992,2010.1,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,13595,CIÊNCIA DA COMPUTAÇÃO - CIN,3495,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,SIM,INTERNACIONAL,PROGRAMA CIÊNCIA SEM FRONTEIRAS,,ESTADOS UNIDOS DA AMERICA
200710800,14/06/1992,2010.2,VESTIBULAR,2019.1,AGRESTE,101129,ENGENHARIA CIVIL - CAA,4100,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,AMARELA,BRA,CARUARU,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200710919,05/06/1992,2010.1,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,13595,CIÊNCIA DA COMPUTAÇÃO - CIN,3495,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,PARDA,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200711023,07/06/1988,2010.2,VESTIBULAR,2019.1,AGRESTE,118092,ENGENHARIA DE PRODUÇÃO - CAA,3765,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,BRANCA,BRA,GRAVATA,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200711900,13/02/1993,2010.1,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,13574,CIÊNCIAS ECONÔMICAS,3000,MANHA,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,F,BRANCA,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200713029,26/02/1992,2010.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,13610,ARQUITETURA E URBANISMO,3915,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,SIM,INTERNACIONAL,PROGRAMA CIÊNCIA SEM FRONTEIRAS,,ESTADOS UNIDOS DA AMERICA
200713624,02/12/1987,2010.1,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,13616,ENGENHARIA ELÉTRICA,3660,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,PARDA,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200714559,26/01/1987,2010.1,VESTIBULAR,2019.2,AGRESTE,118100,MATEMÁTICA - LICENCIATURA - CAA,3000,NOITE,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,NÃO,M,PRETA,BRA,ALTINHO,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200715333,22/11/1988,2010.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,23912,RÁDIO  TV E INTERNET,2865,MANHA,PRESENCIAL,AC,NÃO INFORMADO,SIM,TRANCAMENTO,NÃO,M,PRETA,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200715333,22/11/1988,2010.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,23912,RÁDIO  TV E INTERNET,2865,MANHA,PRESENCIAL,AC,NÃO INFORMADO,SIM,TRANCAMENTO,NÃO,M,PRETA,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200715413,15/05/1984,2010.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,1136142,SISTEMAS DE INFORMAÇÃO,3000,TARDE/NOITE,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,PARDA,BRA,OLINDA,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200715720,15/01/1992,2010.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,13586,ENGENHARIA MECÂNICA,3690,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,NÃO,M,PARDA,BRA,GARANHUNS,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,SIM,INTERNACIONAL,PROGRAMA CIÊNCIA SEM FRONTEIRAS,,ESTADOS UNIDOS DA AMERICA
200715720,15/01/1992,2010.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,13586,ENGENHARIA MECÂNICA,3690,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,NÃO,M,PARDA,BRA,GARANHUNS,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,SIM,INTERNACIONAL,PROGRAMA CIÊNCIA SEM FRONTEIRAS,,ESTADOS UNIDOS DA AMERICA
200717462,20/10/1992,2010.1,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,13574,CIÊNCIAS ECONÔMICAS,3000,NOITE,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,NÃO,F,NÃO DECLARADO,BRA,CAMARAGIBE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200717709,21/08/1992,2010.2,VESTIBULAR,2019.1,AGRESTE,101129,ENGENHARIA CIVIL - CAA,4100,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,AMARELA,BRA,BEZERROS,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200717723,10/04/1992,2010.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,58854,ENGENHARIA DA COMPUTAÇÃO,4065,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,NÃO,M,BRANCA,BRA,IGARASSU,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200717723,10/04/1992,2010.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,58854,ENGENHARIA DA COMPUTAÇÃO,4065,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,BRANCA,BRA,IGARASSU,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200717830,25/04/1990,2010.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,13595,CIÊNCIA DA COMPUTAÇÃO - CIN,3495,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200718022,03/01/1989,2010.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,13595,CIÊNCIA DA COMPUTAÇÃO - CIN,3495,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,SIM,M,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,SIM,INTERNACIONAL,PROGRAMA CIÊNCIA SEM FRONTEIRAS,,ESTADOS UNIDOS DA AMERICA
200718022,03/01/1989,2010.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,13595,CIÊNCIA DA COMPUTAÇÃO - CIN,3495,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,SIM,M,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,SIM,INTERNACIONAL,PROGRAMA CIÊNCIA SEM FRONTEIRAS,,ESTADOS UNIDOS DA AMERICA
200718089,14/05/1988,2010.2,VESTIBULAR,2019.1,VITORIA,101140,CIÊNCIAS BIOLÓGICAS - CAV,3120,NOITE,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,F,PRETA,BRA,VITORIA DE SANTO ANTAO,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200727168,17/12/1990,2010.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,13586,ENGENHARIA MECÂNICA,3690,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,NÃO,M,NÃO DECLARADO,BRA,JABOATAO DOS GUARARAPES,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200727168,17/12/1990,2010.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,13586,ENGENHARIA MECÂNICA,3690,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,NÃO DECLARADO,BRA,JABOATAO DOS GUARARAPES,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200727180,04/05/1992,2010.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,13586,ENGENHARIA MECÂNICA,3690,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,SIM,F,PRETA,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200727181,03/01/1992,2010.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,117382,ENGENHARIA DE ALIMENTOS,3855,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,NÃO,F,NÃO DECLARADO,BRA,OLINDA,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200727181,03/01/1992,2010.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,117382,ENGENHARIA DE ALIMENTOS,3855,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,F,NÃO DECLARADO,BRA,OLINDA,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200727190,30/03/1991,2010.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,117382,ENGENHARIA DE ALIMENTOS,3855,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,NÃO,M,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200727190,30/03/1991,2010.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,117382,ENGENHARIA DE ALIMENTOS,3855,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,NÃO,M,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200727264,23/06/1992,2010.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,13616,ENGENHARIA ELÉTRICA,3660,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,F,BRANCA,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200727276,19/02/1991,2010.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,13616,ENGENHARIA ELÉTRICA,3660,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,F,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200727293,05/04/1990,2010.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,117382,ENGENHARIA DE ALIMENTOS,3855,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,NÃO,M,BRANCA,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200727293,05/04/1990,2010.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,117382,ENGENHARIA DE ALIMENTOS,3855,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,BRANCA,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200727296,27/08/1989,2010.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,117384,ENGENHARIA DE ENERGIA,3720,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,NÃO,M,PARDA,BRA,AFOGADOS DA INGAZEIRA,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200727296,27/08/1989,2010.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,117384,ENGENHARIA DE ENERGIA,3720,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,NÃO,M,PARDA,BRA,AFOGADOS DA INGAZEIRA,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200727307,24/02/1992,2010.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,13586,ENGENHARIA MECÂNICA,3690,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,SIM,M,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200727307,24/02/1992,2010.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,13586,ENGENHARIA MECÂNICA,3690,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,SIM,M,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200727426,04/04/1977,2010.2,DIPLOMADO,2019.2,REITOR JOAQUIM AMAZONAS,13574,CIÊNCIAS ECONÔMICAS,3000,MANHA,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,F,BRANCA,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
